x,y,z,Class,type,className,color
-5.5234647,-18.682604,13.390505,0,train,Chinese,#F24443
-14.468617,1.1897181,-9.066927,0,train,Chinese,#F24443
-10.217527,3.2129076,-9.79757,0,train,Chinese,#F24443
0.040482305,7.9773664,18.576614,0,train,Chinese,#F24443
-10.793211,-3.1616225,-25.26898,0,train,Chinese,#F24443
1.4923979,3.5024943,-23.887447,0,train,Chinese,#F24443
-6.7718525,-18.40364,9.542275,0,train,Chinese,#F24443
-19.553394,-6.077933,12.650377,0,train,Chinese,#F24443
-1.9519845,-0.885361,-26.607632,0,train,Chinese,#F24443
-7.804276,-2.4560685,-15.831573,0,train,Chinese,#F24443
-7.555632,-3.4358752,16.943209,0,train,Chinese,#F24443
-0.7770928,2.3348148,2.0941892,0,train,Chinese,#F24443
-9.148325,-6.929033,-3.1848254,0,train,Chinese,#F24443
-1.9430845,2.2580512,-1.0463188,0,train,Chinese,#F24443
-9.274803,5.51014,-16.093826,0,train,Chinese,#F24443
-8.723484,-0.08405828,-26.126451,0,train,Chinese,#F24443
-13.122122,-7.2448134,-0.21147402,0,train,Chinese,#F24443
-1.2277542,1.3059103,1.9766992,0,train,Chinese,#F24443
-6.1861987,5.64252,-14.934056,0,train,Chinese,#F24443
7.4949946,-1.3038968,21.457748,0,train,Chinese,#F24443
-14.417112,10.039654,-5.617457,0,train,Chinese,#F24443
-12.841867,-2.2683084,-27.708721,0,train,Chinese,#F24443
-19.047165,3.7349062,3.0927887,0,train,Chinese,#F24443
-17.620066,-8.739036,4.547212,0,train,Chinese,#F24443
-12.357407,6.811806,-13.285546,0,train,Chinese,#F24443
13.17124,12.28899,-13.522279,0,train,Chinese,#F24443
3.1097333,-15.484356,4.952545,0,train,Chinese,#F24443
-8.607003,6.851016,-22.83214,0,train,Chinese,#F24443
-8.35029,2.383613,-25.357891,0,train,Chinese,#F24443
-12.035805,-9.936771,-5.8878903,0,train,Chinese,#F24443
-14.04138,9.085559,-10.045568,0,train,Chinese,#F24443
-15.251766,-9.39027,-1.4899114,0,train,Chinese,#F24443
-15.14239,-6.4127026,-4.5770955,0,train,Chinese,#F24443
4.4287534,-5.8426065,1.3191911,0,train,Chinese,#F24443
-2.44783,11.73781,13.441332,0,train,Chinese,#F24443
-7.7227674,-15.6004095,8.751809,0,train,Chinese,#F24443
13.433762,14.36958,-14.929803,0,train,Chinese,#F24443
-18.486937,0.9598374,-13.934195,0,train,Chinese,#F24443
-4.3844414,-6.2874537,-26.64825,0,train,Chinese,#F24443
-10.206263,15.8968935,2.6962826,0,train,Chinese,#F24443
-0.41723832,2.2391443,1.3206263,0,train,Chinese,#F24443
-19.819666,-4.9057035,-15.192281,0,train,Chinese,#F24443
-18.93489,5.8423824,4.5829687,0,train,Chinese,#F24443
3.6506584,6.034747,-4.001835,0,train,Chinese,#F24443
-0.18369073,4.4608054,-27.94023,0,train,Chinese,#F24443
-15.470673,13.98267,-10.360884,0,train,Chinese,#F24443
9.196413,13.565822,0.88542277,0,train,Chinese,#F24443
5.0459795,-3.687695,-18.279957,0,train,Chinese,#F24443
-11.003185,-11.075795,-5.2880263,0,train,Chinese,#F24443
2.0178862,4.9630103,-25.246706,0,train,Chinese,#F24443
-18.462393,6.315683,3.8891883,0,train,Chinese,#F24443
-8.516358,0.8096483,-5.7999363,0,train,Chinese,#F24443
-8.465303,5.2621627,-15.32502,0,train,Chinese,#F24443
-15.123867,14.2191,4.856027,0,train,Chinese,#F24443
9.367033,14.353802,1.5243133,0,train,Chinese,#F24443
-10.952841,1.2231654,-21.266901,0,train,Chinese,#F24443
3.87568,-1.7429175,1.5589538,0,train,Chinese,#F24443
-3.6596754,5.2554183,-24.677118,0,train,Chinese,#F24443
-1.289127,7.1225457,-24.666388,0,train,Chinese,#F24443
-4.0604234,5.188217,-10.776452,0,train,Chinese,#F24443
1.1036195,8.422903,-13.125873,0,train,Chinese,#F24443
0.48577878,-11.132938,4.951971,0,train,Chinese,#F24443
-14.640466,1.1574514,18.764036,0,train,Chinese,#F24443
-17.6883,-1.4760902,-13.282565,0,train,Chinese,#F24443
16.031271,0.02322151,-8.262969,0,train,Chinese,#F24443
-13.563741,-4.394504,-14.168253,0,train,Chinese,#F24443
9.821331,3.9726908,-1.1754328,0,train,Chinese,#F24443
-21.246843,8.651485,5.3914886,0,train,Chinese,#F24443
-1.4824427,1.4593581,-24.53449,0,train,Chinese,#F24443
-4.555914,12.791089,-21.551205,0,train,Chinese,#F24443
4.9810524,9.238583,-18.106094,0,train,Chinese,#F24443
15.801926,-4.0861087,5.5796127,0,train,Chinese,#F24443
-16.117731,1.6759,-2.8528724,0,train,Chinese,#F24443
-8.392938,2.3753915,-2.4539309,0,train,Chinese,#F24443
-7.738157,4.774948,-14.278777,0,train,Chinese,#F24443
-3.7493663,-7.841681,19.930922,0,train,Chinese,#F24443
-8.298183,7.1477094,-16.009937,0,train,Chinese,#F24443
0.88841033,-6.0490084,-8.415592,0,train,Chinese,#F24443
-9.397534,12.852545,-19.650827,0,train,Chinese,#F24443
-14.263631,12.568922,-2.1287625,0,train,Chinese,#F24443
5.6763062,0.89538497,5.934903,0,train,Chinese,#F24443
-12.190982,4.7190895,-22.550665,0,train,Chinese,#F24443
-16.289564,3.078784,-3.5870135,0,train,Chinese,#F24443
-7.0566545,-0.30044094,-24.266092,0,train,Chinese,#F24443
-4.0842085,-1.9224858,-15.101272,0,train,Chinese,#F24443
7.463081,-10.320705,-4.7211413,0,train,Chinese,#F24443
-12.545886,6.9913073,-12.707551,0,train,Chinese,#F24443
15.400057,-5.798379,11.193517,0,train,Chinese,#F24443
-1.6154054,-8.856461,-4.9635005,0,train,Chinese,#F24443
-10.381294,15.984686,2.415398,0,train,Chinese,#F24443
-3.3967085,1.4507985,-20.63228,0,train,Chinese,#F24443
-8.179168,0.60804385,-1.627269,0,train,Chinese,#F24443
16.211607,4.42876,-5.2697406,0,train,Chinese,#F24443
-13.806144,-6.0865006,10.035389,0,train,Chinese,#F24443
0.12752295,-7.5153036,-20.039272,0,train,Chinese,#F24443
14.497337,13.042492,-13.797815,0,train,Chinese,#F24443
-3.1648538,-17.608664,16.137348,0,train,Chinese,#F24443
